location_name,latitude,longitude,title,description,property_type,status,price,bedrooms,bathrooms,amenities,image_urls
Sanger California USA,36.742801,-119.461271,Kings River Reflections,"Real house listing in Sanger, California, USA featuring Oceanfront, Fireplace/Heating, Ocean View.",house,available,95.00,4,4,"Oceanfront, Fireplace/Heating, Ocean View, Balcony/Terrace, Air Conditioner, Parking",https://beta.imgservice.rentbyowner.com/640x300/kings-river-reflections-us-sanger-bc-12660331-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/kings-river-reflections-us-sanger-bc-12660331-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/kings-river-reflections-us-sanger-bc-12660331-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/kings-river-reflections-us-sanger-bc-12660331-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/kings-river-reflections-us-sanger-bc-12660331-4.jpg
Pacific Palisades California USA,34.070872,-118.560683,Heaven's Best Kept Secret 4 Min From The Sea,"Real house listing in CA, USA featuring Oceanfront, Fireplace/Heating, Ocean View.",house,available,234.53,3,2,"Oceanfront, Fireplace/Heating, Ocean View, Balcony/Terrace, Air Conditioner, Parking",https://beta.imgservice.rentbyowner.com/640x300/heaven-s-best-ke-us-pacific-palisades-bc-3878259-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/heaven-s-best-ke-us-pacific-palisades-bc-3878259-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/heaven-s-best-ke-us-pacific-palisades-bc-3878259-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/heaven-s-best-ke-us-pacific-palisades-bc-3878259-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/heaven-s-best-ke-us-pacific-palisades-bc-3878259-4.jpg
McHenry Maryland USA,39.556715,-79.357402,Lake Pointe Inn,"Real bed & breakfast listing in MD, USA featuring Private Beach, Oceanfront, Hot Tub.",bed_and_breakfast,available,298.00,12,12,"Private Beach, Oceanfront, Hot Tub, Ocean View, Air Conditioner, Parking",https://beta.imgservice.rentbyowner.com/640x300/lake-pointe-inn-us-mchenry-bc-4483488-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/lake-pointe-inn-us-mchenry-bc-4483488-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/lake-pointe-inn-us-mchenry-bc-4483488-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/lake-pointe-inn-us-mchenry-bc-4483488-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/lake-pointe-inn-us-mchenry-bc-4483488-4.jpg
Cape May New Jersey USA,38.934512,-74.920443,The Hugh Boutique B&B,"Real bed & breakfast listing in NJ, USA featuring Ocean View, Balcony/Terrace, View.",bed_and_breakfast,available,480.00,8,8,"Ocean View, Balcony/Terrace, View, Parking, Air Conditioner, Internet",https://beta.imgservice.rentbyowner.com/640x300/the-hugh-boutique-b-b-us-cape-may-bc-6420106-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-hugh-boutique-b-b-us-cape-may-bc-6420106-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-hugh-boutique-b-b-us-cape-may-bc-6420106-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-hugh-boutique-b-b-us-cape-may-bc-6420106-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-hugh-boutique-b-b-us-cape-may-bc-6420106-4.jpg
Saint Michaels Maryland USA,38.828105,-76.297211,Wades Point Inn on the Bay,"Real bed & breakfast listing in Saint Michaels, MD, USA featuring Balcony/Terrace, Parking, Air Conditioner.",bed_and_breakfast,available,288.84,23,24,"Balcony/Terrace, Parking, Air Conditioner, Internet, Wheelchair Accessible",https://beta.imgservice.rentbyowner.com/640x300/wades-point-inn-on-us-saint-michaels-bc-1130948-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/wades-point-inn-on-us-saint-michaels-bc-1130948-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/wades-point-inn-on-us-saint-michaels-bc-1130948-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/wades-point-inn-on-us-saint-michaels-bc-1130948-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/wades-point-inn-on-us-saint-michaels-bc-1130948-4.jpg
Athens Georgia USA,33.965237,-83.400961,"NormalBnB - 2 Blocks From Restaurants, Bars, Hospital","Real apartment listing in GA, USA featuring Fireplace/Heating, Balcony/Terrace, View.",apartment,available,177.00,2,2,"Fireplace/Heating, Balcony/Terrace, View, Parking, Air Conditioner, Security/Safety",https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-4.jpg
Galveston Texas USA,29.29925,-94.77964,Cozy Historic Beach Cottage II,"Real house listing in Galveston, TX, USA featuring Kitchen, Parking, Air Conditioner.",house,available,157.00,3,2,"Kitchen, Parking, Air Conditioner, Internet, Laundry",https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-4.jpg
Provincetown Massachusetts USA,42.055166,-70.182571,Benchmark Inn,"Real bed & breakfast listing in MA, USA featuring Oceanfront, Hot Tub, Fireplace/Heating.",bed_and_breakfast,available,592.00,7,7,"Oceanfront, Hot Tub, Fireplace/Heating, Pool, Air Conditioner, Parking",https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-4.jpg
Pasadena California USA,34.15117,-118.180984,The Patrician Hollywood Universal,"Real house listing in Pasadena, CA, USA featuring Fireplace/Heating, Balcony/Terrace, View.",house,available,104.00,5,9,"Fireplace/Heating, Balcony/Terrace, View, Breakfast, Air Conditioner, Parking",https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-4.jpg
Radiant Virginia USA,38.322839,-78.194465,Hill of Content B&B,"Real bed & breakfast listing in Radiant, VA, USA featuring Balcony/Terrace, Parking, Air Conditioner.",bed_and_breakfast,available,160.00,3,3,"Balcony/Terrace, Parking, Air Conditioner, Internet, Designated Smoking Area",https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-0.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-4.jpg
